State (Emission order)	H2AFZ	H3K27ac	H3K9ac	H3K4me3	H3K4me2	H3K4me1	H3K79me2	H4K20me1	H3K36me3	H3K9me3	H3K27me3
1	0.652219315636009	0.9364381828025358	0.983990813587681	0.9917695973695956	0.9112574925999212	0.29951623915556225	0.39024640908913105	0.06675923131901984	0.007825326077885853	0.006429108403359403	0.005005358624444784
2	0.43946494393396957	0.5971328623559267	0.34110946744238557	0.3886077351551331	0.8665234679089162	0.7604673546595295	0.04483287381357062	0.05705910288534852	0.01565523481641685	0.015625741892051386	0.023333495694250857
3	0.08107082724629744	0.09472677432527157	0.026182745593628005	0.010992362624406088	0.1738031531728156	0.5357929981934362	0.02829673483646743	0.05350598573067013	0.010864268707736378	0.0063079850076978175	0.005727589757896738
4	0.009638613511921355	0.2255409878998897	0.2402855238898641	0.4384890793608358	0.827722203727007	0.5851241504372432	0.8287831750059563	0.22772352308774274	0.26007851321611397	0.0111221215282828	0.004478243328115205
5	7.830171543663244E-4	0.0050245933269574	0.009875292327225532	0.001577764120586169	0.015759205379920472	0.05769776612078333	0.6297701273756546	0.14056193485848112	0.14344865184373876	0.0075602588436967585	0.0011139614560027023
6	0.00194342646201185	7.114699612754109E-4	0.007161560280039036	5.64628440725182E-4	3.9298246384972176E-4	0.0038885498431150685	0.030751842752764446	0.04713362743440656	0.022471593549920652	0.002058384393231339	0.0013659095678484536
7	0.002406633485467958	4.045528435699244E-5	9.384492683505816E-4	8.857396402169252E-5	2.3782089096725746E-4	5.383814010835517E-4	0.002484246542257655	0.021559177335219667	1.5114748133552934E-4	0.002394818314606163	0.0033712508835726813
8	0.07947137999728242	0.004222463307910299	0.03478288764768058	0.014363088387394123	0.012760771656230147	0.00851920697962109	0.03430871378528134	0.13283613061774488	0.007245237836554648	0.20163634719206658	0.04625738806600399
9	0.01237590336491652	5.085341343390507E-4	0.009453485110184588	0.0015518576298602415	0.00248944887961746	0.0021427126172063175	0.008449491771691655	0.07772199513232102	1.459969414790161E-4	0.01127019700737731	0.2651632190708969
10	0.0012214074772163763	0.004530274375536629	0.01464432322065637	0.00200101096147365	0.0014714847934860396	0.008173089357329254	0.05923228249048331	0.08642428290611313	0.426284732651506	0.008955240495870426	0.002510143372781297
